"y","ave_degree","transitivity","motif_3_1","motif_3_2","motif_4_1","motif_4_2","motif_4_3","motif_4_4","motif_4_5","motif_4_6","density","community_id","week","next_y","next_ave_degree","next_transitivity","next_motif_3_1","next_motif_3_2","next_motif_4_1","next_motif_4_2","next_motif_4_3","next_motif_4_4","next_motif_4_5","next_motif_4_6","next_density","next_community_id"
2,2,0,0,0,0,0,0,0,0,0,2,5,26,10,14.8,0.969230769230769,8,84,0,0,28,0,0,126,1.64444444444444,1
2,2,0,0,0,0,0,0,0,0,0,2,6,26,6,7.33333333333333,0.882352941176471,4,10,0,0,6,0,0,5,1.46666666666667,3
10,14.8,0.969230769230769,8,84,0,0,28,0,0,126,1.64444444444444,1,27,9,8.44444444444444,0.84,12,21,0,5,26,0,0,15,1.05555555555556,3
7,4,0.176470588235294,14,1,16,0,4,0,0,0,0.666666666666667,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.33333333333333,0.882352941176471,4,10,0,0,6,0,0,5,1.46666666666667,3,27,15,7.46666666666667,0.448979591836735,81,22,163,14,134,0,12,10,0.533333333333333,1
5,4,0.375,5,1,2,0,2,0,0,0,1,4,27,15,7.46666666666667,0.448979591836735,81,22,163,14,134,0,12,10,0.533333333333333,1
2,2,0,0,0,0,0,0,0,0,0,2,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7.46666666666667,0.448979591836735,81,22,163,14,134,0,12,10,0.533333333333333,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10.6666666666667,0.831683168316832,34,56,46,0,84,0,0,70,0.96969696969697,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8.44444444444444,0.84,12,21,0,5,26,0,0,15,1.05555555555556,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,28,2,2,0,0,0,0,0,0,0,0,0,2,9
2,2,0,0,0,0,0,0,0,0,0,2,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,28,8,11,0.945945945945946,6,35,0,0,15,0,0,35,1.57142857142857,3
2,2,0,0,0,0,0,0,0,0,0,2,7,28,8,8.5,0.857142857142857,10,20,0,1,20,0,0,15,1.21428571428571,4
2,2,0,0,0,0,0,0,0,0,0,2,8,28,10,5.2,0.375,25,5,34,7,21,0,0,1,0.577777777777778,1
2,2,0,0,0,0,0,0,0,0,0,2,9,28,10,5.2,0.375,25,5,34,7,21,0,0,1,0.577777777777778,1
2,2,0,0,0,0,0,0,0,0,0,2,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.2,0.375,25,5,34,7,21,0,0,1,0.577777777777778,1,29,10,4.4,0.230769230769231,20,2,14,12,11,0,0,0,0.488888888888889,3
10,5.2,0.441176470588235,19,5,8,11,18,0,0,1,0.577777777777778,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,0.945945945945946,6,35,0,0,15,0,0,35,1.57142857142857,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.5,0.857142857142857,10,20,0,1,20,0,0,15,1.21428571428571,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,5,29,10,4.4,0.230769230769231,20,2,14,12,11,0,0,0,0.488888888888889,3
